City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Guanhaes,BR,-18.775,-42.9325,68.63,96,98,2.04,overcast clouds
166,Ponta Do Sol,PT,32.6667,-17.1,62.6,88,75,2.24,light rain
167,Sri Aman,MY,1.2376,111.4621,82.4,83,40,2.24,heavy intensity rain
168,Salalah,OM,17.0151,54.0924,82.4,18,0,13.87,clear sky
169,Lorengau,PG,-2.0226,147.2712,83.46,75,100,8.9,light rain
170,Ferme-Neuve,CA,46.7001,-75.4493,23.0,92,83,6.93,broken clouds
171,Bambous Virieux,MU,-20.3428,57.7575,84.2,70,40,14.99,shower rain
172,Troy,US,42.6056,-83.1499,34.0,97,90,4.7,overcast clouds
173,Gazojak,TM,41.1875,61.4036,28.8,66,0,9.66,clear sky
174,Namibe,AO,-15.1961,12.1522,78.8,69,20,7.96,few clouds
175,Kahului,US,20.8947,-156.47,71.6,73,20,10.29,few clouds
176,Caceres,ES,39.522,-6.3748,35.01,79,1,3.0,clear sky
177,Aklavik,CA,68.2191,-135.0107,-18.4,75,44,1.12,scattered clouds
178,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,21.2,92,98,1.12,overcast clouds
179,Tyup,KG,42.7276,78.3648,25.5,88,91,3.91,overcast clouds
180,Chato,TZ,-2.6378,31.7669,82.09,44,91,5.7,overcast clouds
181,Moron,AR,-34.6534,-58.6198,71.01,57,46,3.0,scattered clouds
182,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,62,40,18.34,scattered clouds
183,Touros,BR,-5.1989,-35.4608,71.6,94,20,4.7,few clouds
184,Tecoanapa,MX,16.5167,-98.75,74.7,85,67,6.42,broken clouds
185,Atbasar,KZ,51.8,68.3333,-8.57,89,0,7.92,clear sky
186,Chatellerault,FR,46.8,0.5333,36.0,93,90,5.82,mist
187,Sorland,NO,67.667,12.6934,42.8,87,40,17.22,scattered clouds
188,Mananjary,MG,-21.2167,48.3333,84.54,60,88,8.41,overcast clouds
189,Imbituba,BR,-28.24,-48.6703,75.2,94,75,2.24,light rain
190,Bambanglipuro,ID,-7.95,110.2833,83.07,74,83,5.59,heavy intensity rain
191,Houma,US,29.5958,-90.7195,39.2,100,1,5.28,clear sky
192,Marzuq,YE,14.4,46.4667,71.85,22,0,9.95,clear sky
193,Kikwit,CD,-5.041,18.8162,83.52,76,11,3.13,moderate rain
194,Tevaitoa,PF,-16.7833,-151.5,80.92,75,27,13.71,scattered clouds
195,Yuncheng,CN,35.0231,110.9928,18.14,50,61,15.66,broken clouds
196,Kuryk,KZ,43.2,51.65,37.54,73,63,24.54,broken clouds
197,Dunedin,NZ,-45.8742,170.5036,59.0,91,100,10.0,overcast clouds
198,Zhezkazgan,KZ,47.8043,67.7144,-0.4,89,0,4.7,clear sky
199,Mogadishu,SO,2.0371,45.3438,87.8,45,0,18.34,clear sky
200,Khandbari,NP,27.3747,87.2039,72.1,39,100,6.46,overcast clouds
201,Waitati,NZ,-45.75,170.5667,59.0,91,100,10.0,light rain
202,Calbuco,CL,-41.768,-73.1273,46.4,100,0,6.93,clear sky
203,Bandarbeyla,SO,9.4942,50.8122,77.52,61,25,24.76,scattered clouds
204,Hongjiang,CN,27.11,109.9956,38.07,81,100,4.63,overcast clouds
205,Pacific Grove,US,36.6177,-121.9166,46.99,87,1,5.77,clear sky
206,Kemijarvi,FI,66.7131,27.4306,8.83,95,82,4.5,broken clouds
207,Waipawa,NZ,-41.4122,175.5153,66.2,82,63,19.46,broken clouds
208,Havoysund,NO,70.9963,24.6622,37.4,86,75,11.41,broken clouds
209,Fuxin,CN,42.0156,121.6589,-5.93,71,86,20.33,overcast clouds
210,Asyut,EG,27.181,31.1837,60.8,77,0,9.17,clear sky
211,Dalvik,IS,65.9702,-18.5286,30.2,50,40,6.93,light snow
212,Swan Hill,AU,-35.3378,143.5544,73.06,36,0,13.15,clear sky
213,Rocha,UY,-34.4833,-54.3333,70.83,90,94,13.96,overcast clouds
214,Wattegama,LK,6.7989,81.4808,82.4,88,75,9.17,moderate rain
