City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Mahibadhoo,MV,2021-01-05 04:10:51,3.78,72.97,82.2,74,85,4.56
274,Brownwood,US,2021-01-05 04:10:51,31.71,-98.99,39.2,64,1,6.17
275,San Felipe,VE,2021-01-05 04:10:52,10.34,-68.74,68.86,89,53,1.81
276,Aykhal,RU,2021-01-05 04:10:52,66.0,111.5,-11.2,76,0,6.71
277,Slavyanka,RU,2021-01-05 04:10:52,42.86,131.38,11.95,73,0,8.16
278,Caluquembe,AO,2021-01-05 04:10:52,-13.78,14.68,55.26,73,100,5.64
279,Abu Dhabi,AE,2021-01-05 04:10:52,24.47,54.37,59.0,67,0,1.12
280,North Myrtle Beach,US,2021-01-05 04:10:53,33.82,-78.68,46.4,100,1,2.28
281,Boajibu,SL,2021-01-05 04:10:53,8.18,-11.33,73.85,94,40,1.66
282,Dumas,US,2021-01-05 04:10:53,35.87,-101.97,39.0,61,1,8.05
283,Tiznit,MA,2021-01-05 04:10:53,29.58,-9.5,55.26,52,65,2.35
284,Upata,VE,2021-01-05 04:10:54,8.01,-62.4,75.99,86,18,1.01
285,Atambua,ID,2021-01-05 04:10:54,-9.11,124.89,83.53,69,98,7.07
286,Itoman,JP,2021-01-05 04:10:54,26.12,127.67,66.2,93,75,21.92
287,Zhigansk,RU,2021-01-05 04:10:54,66.77,123.37,-40.31,80,67,8.75
288,Tulle,FR,2021-01-05 04:10:55,45.33,1.83,30.0,56,95,1.79
289,Olafsvik,IS,2021-01-05 04:10:55,64.89,-23.71,38.28,75,100,17.49
290,Ust-Omchug,RU,2021-01-05 04:10:56,61.15,149.63,-16.26,83,100,6.49
291,Tiarei,PF,2021-01-05 04:10:56,-17.53,-149.33,78.8,74,75,5.82
292,Hithadhoo,MV,2021-01-05 04:10:56,-0.6,73.08,83.08,74,100,17.45
293,Snyder,US,2021-01-05 04:10:57,32.72,-100.92,42.8,60,1,3.83
294,Tonj,SS,2021-01-05 04:10:57,7.27,28.68,70.11,34,81,2.73
295,Nacala,MZ,2021-01-05 04:10:57,-14.54,40.67,77.38,87,58,3.56
296,Santa Pola,ES,2021-01-05 04:10:58,38.19,-0.57,44.6,56,0,16.11
297,Gamba,GA,2021-01-05 04:10:58,-2.65,10.0,75.79,89,50,2.95
298,Kysyl-Syr,RU,2021-01-05 04:10:58,63.9,122.76,-38.87,80,49,4.34
299,Zhangye,CN,2021-01-05 04:10:58,38.93,100.45,13.96,75,1,3.13
300,Quatre Cocos,MU,2021-01-05 04:10:59,-20.21,57.76,81.0,78,40,6.93
301,Pimentel,PE,2021-01-05 04:10:59,-6.84,-79.93,68.63,84,98,8.99
